subscription_id,client_id,plan,start_date,end_date,amount,currency,status
S0000110,C00110,Enterprise,2022-10-07,2023-12-01,200,USD,expired
S0000111,C00111,Standard,2022-03-12,,50,USD,active
S0000112,C00112,Enterprise,2024-09-04,2026-06-26,200,USD,expired
S0000113,C00113,Standard,2023-10-20,2025-04-12,50,USD,expired
S0000114,C00114,Pro,2023-03-22,2023-09-18,100,USD,expired
S0000115,C00115,Standard,2024-08-09,2026-01-01,50,USD,expired
S0000116,C00116,Pro,2023-07-29,2024-09-21,100,USD,expired
S0000117,C00117,Enterprise,2021-10-20,2022-08-16,200,USD,expired
S0000118,C00118,Enterprise,2022-06-27,,200,USD,active
S0000119,C00119,Pro,2021-10-13,,100,USD,active
S0000120,C00120,Pro,2022-05-21,2022-11-17,100,USD,expired
S0000121,C00121,Enterprise,2024-02-24,,200,USD,active
S0000122,C00122,Enterprise,2024-01-09,,200,USD,active
S0000123,C00123,Enterprise,2022-06-23,,200,USD,active
S0000124,C00124,Enterprise,2024-04-12,2026-03-03,200,USD,expired
S0000125,C00125,Pro,2023-05-28,,100,USD,active
S0000126,C00126,Enterprise,2024-04-10,2026-03-01,200,USD,expired
S0000127,C00127,Standard,2023-03-29,,50,USD,active
S0000128,C00128,Enterprise,2023-01-12,,200,USD,active
S0000129,C00129,Enterprise,2022-03-26,,200,USD,active
S0000130,C00130,Standard,2021-10-11,,50,USD,active
S0000131,C00131,Pro,2023-11-10,,100,USD,active
S0000132,C00132,Standard,2023-10-08,,50,USD,active
S0000133,C00133,Standard,2021-07-06,,50,USD,active
S0000134,C00134,Pro,2021-04-07,,100,USD,active
S0000135,C00135,Standard,2021-08-13,,50,USD,active
S0000136,C00136,Standard,2021-11-10,,50,USD,active
S0000137,C00137,Enterprise,2024-07-09,,200,USD,active
S0000138,C00138,Standard,2021-11-24,,50,USD,active
S0000139,C00139,Standard,2024-10-25,,50,USD,active
S0000140,C00140,Enterprise,2023-05-15,,200,USD,active
S0000141,C00141,Standard,2024-05-06,,50,USD,active
S0000142,C00142,Standard,2021-05-11,,50,USD,active
S0000143,C00143,Pro,2023-02-28,,100,USD,active
S0000144,C00144,Standard,2023-02-21,2024-02-16,50,USD,expired
S0000145,C00145,Enterprise,2024-05-05,,200,USD,active
S0000146,C00146,Standard,2023-08-17,,50,USD,active
S0000147,C00147,Pro,2023-12-20,,100,USD,active
S0000148,C00148,Enterprise,2022-05-30,,200,USD,active
S0000149,C00149,Pro,2024-02-08,2024-10-05,100,USD,expired
S0000150,C00150,Enterprise,2021-01-24,2022-01-19,200,USD,expired
S0000151,C00151,Pro,2024-10-25,,100,USD,active
S0000152,C00152,Standard,2021-08-23,,50,USD,active
S0000153,C00153,Standard,2024-10-28,,50,USD,active
S0000154,C00154,Standard,2024-01-05,2024-08-02,50,USD,expired
S0000155,C00155,Enterprise,2022-07-01,2023-04-27,200,USD,expired
S0000156,C00156,Standard,2024-08-05,2026-05-27,50,USD,expired
S0000157,C00157,Enterprise,2022-11-28,,200,USD,active
S0000158,C00158,Standard,2021-08-17,,50,USD,active
S0000159,C00159,Pro,2022-08-25,,100,USD,active
S0000160,C00160,Standard,2023-06-10,2024-10-02,50,USD,expired
S0000161,C00161,Standard,2021-11-20,2022-12-15,50,USD,expired
S0000162,C00162,Enterprise,2023-07-19,,200,USD,active
S0000163,C00163,Standard,2021-01-07,,50,USD,active
S0000164,C00164,Standard,2022-06-24,,50,USD,active
S0000165,C00165,Enterprise,2023-10-23,,200,USD,active
S0000166,C00166,Enterprise,2022-01-01,,200,USD,active
S0000167,C00167,Enterprise,2023-11-06,,200,USD,active
S0000168,C00168,Standard,2021-08-06,2023-05-28,50,USD,expired
S0000169,C00169,Pro,2024-07-04,,100,USD,active
S0000170,C00170,Pro,2022-09-04,,100,USD,active
S0000171,C00171,Standard,2024-08-01,2025-02-27,50,USD,expired
S0000172,C00172,Pro,2023-11-06,2025-07-28,100,USD,expired
S0000173,C00173,Standard,2024-06-01,,50,USD,active
S0000174,C00174,Standard,2022-02-12,,50,USD,active
S0000175,C00175,Standard,2021-11-10,2023-07-03,50,USD,expired
S0000176,C00176,Pro,2023-02-05,,100,USD,active
S0000177,C00177,Enterprise,2021-11-27,,200,USD,active
S0000178,C00178,Pro,2024-01-10,,100,USD,active
S0000179,C00179,Enterprise,2023-12-23,,200,USD,active
S0000180,C00180,Standard,2021-01-02,2021-10-29,50,USD,expired
S0000181,C00181,Standard,2024-05-11,2024-11-07,50,USD,expired
S0000182,C00182,Enterprise,2022-10-26,,200,USD,active
S0000183,C00183,Enterprise,2023-09-28,2024-05-25,200,USD,expired
S0000184,C00184,Enterprise,2021-02-09,,200,USD,active
S0000185,C00185,Enterprise,2021-08-18,,200,USD,active
S0000186,C00186,Enterprise,2023-01-14,2024-01-09,200,USD,expired
S0000187,C00187,Pro,2022-09-22,2024-01-15,100,USD,expired
S0000188,C00188,Enterprise,2022-05-06,,200,USD,active
S0000189,C00189,Pro,2021-04-29,2022-05-24,100,USD,expired
S0000190,C00190,Standard,2022-05-09,,50,USD,active
S0000191,C00191,Standard,2024-03-07,,50,USD,active
S0000192,C00192,Enterprise,2021-06-11,,200,USD,active
S0000193,C00193,Enterprise,2021-06-25,,200,USD,active
S0000194,C00194,Standard,2023-09-23,,50,USD,active
S0000195,C00195,Enterprise,2021-05-22,,200,USD,active
S0000196,C00196,Standard,2023-12-27,,50,USD,active
S0000197,C00197,Standard,2021-09-15,,50,USD,active
S0000198,C00198,Standard,2021-09-20,,50,USD,active
S0000199,C00199,Standard,2024-09-13,,50,USD,active
S0000200,C00200,Enterprise,2023-09-01,,200,USD,active
S0000201,C00201,Enterprise,2024-01-31,,200,USD,active
S0000202,C00202,Enterprise,2021-12-05,,200,USD,active
S0000203,C00203,Pro,2022-06-27,,100,USD,active
S0000204,C00204,Enterprise,2023-12-17,,200,USD,active
S0000205,C00205,Standard,2024-05-27,,50,USD,active
S0000206,C00206,Pro,2023-05-17,,100,USD,active
S0000207,C00207,Pro,2022-03-10,,100,USD,active
S0000208,C00208,Enterprise,2024-01-10,,200,USD,active
S0000209,C00209,Enterprise,2024-11-13,,200,USD,active
S0000210,C00210,Pro,2022-02-16,,100,USD,active
S0000211,C00211,Standard,2022-10-01,,50,USD,active
S0000212,C00212,Enterprise,2023-03-29,,200,USD,active
S0000213,C00213,Enterprise,2024-10-07,,200,USD,active
S0000214,C00214,Pro,2024-08-23,,100,USD,active
S0000215,C00215,Standard,2023-02-04,,50,USD,active
S0000216,C00216,Pro,2023-06-17,2025-03-08,100,USD,expired
S0000217,C00217,Enterprise,2023-11-26,,200,USD,active
S0000218,C00218,Standard,2023-07-14,,50,USD,active
S0000219,C00219,Enterprise,2021-09-05,,200,USD,active
S0000220,C00220,Pro,2022-05-23,,100,USD,active
S0000221,C00221,Enterprise,2022-04-06,2023-05-01,200,USD,expired
S0000222,C00222,Standard,2021-05-12,,50,USD,active
S0000223,C00223,Enterprise,2022-11-24,,200,USD,active
S0000224,C00224,Standard,2021-02-13,2023-02-03,50,USD,expired
S0000225,C00225,Pro,2024-04-19,,100,USD,active
S0000226,C00226,Standard,2024-02-09,,50,USD,active
S0000227,C00227,Pro,2022-04-17,,100,USD,active
S0000228,C00228,Pro,2024-04-20,2025-09-12,100,USD,expired
S0000229,C00229,Standard,2022-03-28,2022-10-24,50,USD,expired
S0000230,C00230,Pro,2021-01-15,2021-07-14,100,USD,expired
S0000231,C00231,Standard,2021-05-26,2022-10-18,50,USD,expired
S0000232,C00232,Standard,2024-12-20,,50,USD,active
S0000233,C00233,Standard,2024-07-16,,50,USD,active
S0000234,C00234,Standard,2021-05-01,,50,USD,active
S0000235,C00235,Standard,2022-04-14,,50,USD,active
S0000236,C00236,Pro,2021-05-19,2023-04-09,100,USD,expired
S0000237,C00237,Pro,2021-03-06,,100,USD,active
S0000238,C00238,Enterprise,2022-11-08,2024-07-30,200,USD,expired
S0000239,C00239,Standard,2021-05-26,2022-09-18,50,USD,expired
S0000240,C00240,Standard,2023-11-19,,50,USD,active
S0000241,C00241,Standard,2022-05-03,,50,USD,active
S0000242,C00242,Pro,2022-07-25,2024-07-14,100,USD,expired
S0000243,C00243,Standard,2024-10-02,,50,USD,active
S0000244,C00244,Enterprise,2023-09-22,,200,USD,active
S0000245,C00245,Standard,2022-03-15,2023-12-05,50,USD,expired
S0000246,C00246,Standard,2024-01-10,,50,USD,active
S0000247,C00247,Enterprise,2021-09-28,,200,USD,active
S0000248,C00248,Enterprise,2024-03-15,,200,USD,active
S0000249,C00249,Enterprise,2024-03-26,,200,USD,active
S0000250,C00250,Enterprise,2023-08-27,,200,USD,active
S0000251,C00251,Standard,2022-05-13,,50,USD,active
S0000252,C00252,Pro,2023-08-27,2024-07-22,100,USD,expired
S0000253,C00253,Standard,2023-04-14,2024-09-05,50,USD,expired
S0000254,C00254,Enterprise,2022-01-25,2023-02-19,200,USD,expired
S0000255,C00255,Enterprise,2021-07-13,,200,USD,active
S0000256,C00256,Enterprise,2021-07-18,2023-07-08,200,USD,expired
S0000257,C00257,Pro,2024-09-11,,100,USD,active
S0000258,C00258,Standard,2023-06-02,,50,USD,active
S0000259,C00259,Enterprise,2022-12-27,,200,USD,active
S0000260,C00260,Standard,2023-05-18,2023-11-14,50,USD,expired
S0000261,C00261,Pro,2023-04-22,2023-12-18,100,USD,expired
S0000262,C00262,Enterprise,2023-08-15,,200,USD,active
S0000263,C00263,Enterprise,2021-04-21,2022-03-17,200,USD,expired
S0000264,C00264,Pro,2024-10-11,,100,USD,active
S0000265,C00265,Enterprise,2024-08-31,2025-02-27,200,USD,expired
S0000266,C00266,Enterprise,2024-08-16,,200,USD,active
S0000267,C00267,standard,2021-07-21,,50,USD,active
S0000268,C00268,Standard,2021-05-05,,50,USD,active
S0000269,C00269,Standard,2023-04-05,,50,USD,active
S0000270,C00270,Enterprise,2022-11-26,,200,USD,active
S0000271,C00271,Enterprise,2021-08-12,,200,USD,active
S0000272,C00272,Pro,2022-05-25,,100,USD,active
S0000273,C00273,Standard,2022-01-28,2024-01-18,50,USD,expired
S0000274,C00274,Pro,2022-01-25,,100,USD,active
S0000275,C00275,standard,2024-01-04,,50,USD,active
S0000276,C00276,Enterprise,2023-07-08,,200,USD,active
S0000277,C00277,standard,2021-10-15,2022-10-10,50,USD,expired
S0000278,C00278,Standard,2023-05-15,,50,USD,active
S0000279,C00279,Enterprise,2022-01-11,,200,USD,active
S0000280,C00280,Standard,2022-07-25,,50,USD,active
S0000281,C00281,Enterprise,2023-08-06,2024-07-31,200,USD,expired
S0000282,C00282,Pro,2022-05-27,,100,USD,active
S0000283,C00283,Pro,2021-06-04,2022-10-27,100,USD,expired
S0000284,C00284,Enterprise,2023-06-27,,200,USD,active
S0000285,C00285,Standard,2024-02-02,,50,USD,active
S0000286,C00286,Standard,2021-07-20,,50,USD,active
S0000287,C00287,Standard,2021-04-14,,50,USD,active
S0000288,C00288,Pro,2024-08-28,2025-05-25,100,USD,expired
S0000289,C00289,Pro,2024-01-13,,100,USD,active
S0000290,C00290,Standard,2021-01-31,,50,USD,active
S0000291,C00291,Standard,2021-07-11,2022-03-08,50,USD,expired
S0000292,C00292,Standard,2022-04-30,2024-02-19,50,USD,expired
S0000293,C00293,Pro,2021-12-07,,100,USD,active
S0000294,C00294,standard,2023-04-13,,50,USD,active
S0000295,C00295,Pro,2023-09-22,,100,USD,active
S0000296,C00296,Enterprise,2023-09-13,,200,USD,active
S0000297,C00297,Pro,2022-03-14,,100,USD,active
S0000298,C00298,Standard,2023-04-02,,50,USD,active
S0000299,C00299,Pro,2021-05-01,2023-01-21,100,USD,expired
S0000300,C00300,Pro,2021-12-04,,100,USD,active
S0000301,C00301,Standard,2023-02-16,2023-11-13,50,USD,expired
S0000302,C00302,Standard,2021-01-05,2022-03-31,50,USD,expired
S0000303,C00303,Standard,2023-03-11,,50,USD,active
S0000304,C00304,Enterprise,2022-06-28,2023-07-23,200,USD,expired
S0000305,C00305,Enterprise,2023-07-21,,200,USD,active
S0000306,C00306,Standard,2022-08-08,,50,USD,active
S0000307,C00307,Pro,2023-05-17,2025-02-05,100,USD,expired
S0000308,C00308,Enterprise,2024-11-27,,200,USD,active
S0000309,C00309,Standard,2024-02-13,,50,USD,active
S0000310,C00310,Enterprise,2024-09-17,,200,USD,active
S0000311,C00311,Pro,2023-09-24,,100,USD,active
S0000312,C00312,Standard,2021-11-14,,50,USD,active
S0000313,C00313,Pro,2022-01-24,,100,USD,active
S0000314,C00314,Pro,2022-08-31,,100,USD,active
S0000315,C00315,Enterprise,2022-03-22,2023-05-16,200,USD,expired
S0000316,C00316,Enterprise,2021-04-30,2023-03-21,200,USD,expired
S0000317,C00317,Enterprise,2024-04-01,2025-03-27,200,USD,expired
S0000318,C00318,Standard,2024-01-16,,50,USD,active
S0000319,C00319,Enterprise,2021-05-05,,200,USD,active
S0000320,C00320,Pro,2022-10-05,2024-05-27,100,USD,expired
S0000321,C00321,Pro,2021-04-28,,100,USD,active
S0000322,C00322,Pro,2021-04-13,,100,USD,active
S0000323,C00323,Standard,2024-04-11,2025-03-07,50,USD,expired
S0000324,C00324,Pro,2023-09-04,2024-12-27,100,USD,expired
S0000325,C00325,Pro,2023-10-27,,100,USD,active
S0000326,C00326,Enterprise,2023-12-24,,200,USD,active
S0000327,C00327,Pro,2021-11-19,2022-07-17,100,USD,expired
S0000328,C00328,Enterprise,2021-04-27,,200,USD,active
S0000329,C00329,Pro,2023-11-07,,100,USD,active
S0000330,C00330,Standard,2021-06-14,,50,USD,active
S0000331,C00331,Pro,2022-01-16,,100,USD,active
S0000332,C00332,Standard,2021-05-21,,50,USD,active
S0000333,C00333,Enterprise,2024-05-03,2024-12-29,200,USD,expired
S0000334,C00334,Standard,2021-05-20,,50,USD,active
S0000335,C00335,Enterprise,2024-10-14,2025-09-09,200,USD,expired
S0000336,C00336,Standard,2022-04-27,,50,USD,active
S0000337,C00337,Enterprise,2023-04-07,,200,USD,active
S0000338,C00338,Pro,2021-09-03,,92,USD,active
S0000339,C00339,Enterprise,2024-03-12,,200,USD,active
S0000340,C00340,Enterprise,2022-05-20,,200,USD,active
S0000341,C00341,Enterprise,2024-03-31,,200,USD,active
S0000342,C00342,Standard,2024-05-02,,50,USD,active
S0000343,C00343,Standard,2021-03-23,,50,USD,active
S0000344,C00344,Standard,2024-06-22,,50,USD,active
S0000345,C00345,Enterprise,2021-06-17,2022-05-13,200,USD,expired
S0000346,C00346,Enterprise,2023-05-09,,200,USD,active
S0000347,C00347,Enterprise,2024-09-08,,200,USD,active
S0000348,C00348,Enterprise,2024-04-10,,200,USD,active
S0000349,C00349,Standard,2024-03-03,2025-04-27,50,USD,expired
S0000350,C00350,Standard,2023-12-07,2025-05-30,50,USD,expired
S0000351,C00351,Enterprise,2022-10-10,,200,USD,active
S0000352,C00352,Standard,2022-06-19,,50,USD,active
S0000353,C00353,Enterprise,2022-02-23,,200,USD,active
S0000354,C00354,Standard,2024-10-03,,50,USD,active
S0000355,C00355,Enterprise,2022-10-06,,200,USD,active
S0000356,C00356,Pro,2022-05-04,,100,USD,active
S0000357,C00357,Standard,2022-06-28,2024-01-19,50,USD,expired
S0000358,C00358,Standard,2023-03-22,,50,USD,active
S0000359,C00359,Enterprise,2021-09-26,,200,USD,active
S0000360,C00360,Standard,2024-10-07,2026-09-27,50,USD,expired
S0000361,C00361,Enterprise,2024-08-14,,200,USD,active
S0000362,C00362,Standard,2022-09-07,,50,USD,active
S0000363,C00363,Enterprise,2023-07-26,,200,USD,active
S0000364,C00364,Enterprise,2022-10-10,,200,USD,active
S0000365,C00365,Pro,2021-05-29,,100,USD,active
S0000366,C00366,Standard,2021-01-20,,50,USD,active
S0000367,C00367,Standard,2023-07-28,,50,USD,active
S0000368,C00368,Standard,2024-06-26,,50,USD,active
S0000369,C00369,Pro,2024-02-28,2025-05-23,100,USD,expired
S0000370,C00370,Enterprise,2021-07-24,,200,USD,active
S0000371,C00371,Standard,2021-05-31,2021-12-27,50,USD,expired
S0000372,C00372,Enterprise,2024-01-07,,200,USD,active
S0000373,C00373,Pro,2022-03-13,,100,USD,active
S0000374,C00374,Enterprise,2023-11-03,,200,USD,active
S0000375,C00375,Enterprise,2022-06-28,,200,USD,active
S0000376,C00376,Enterprise,2021-09-29,,200,USD,active
S0000377,C00377,Pro,2022-12-16,,100,USD,active
S0000378,C00378,Pro,2021-05-21,2022-09-13,100,USD,expired
S0000379,C00379,Pro,2022-05-16,,100,USD,active
S0000380,C00380,Standard,2023-01-27,,50,USD,active
S0000381,C00381,Standard,2022-08-07,2023-12-30,50,USD,expired
S0000382,C00382,Standard,2021-11-20,,50,USD,active
S0000383,C00383,Pro,2023-06-17,,100,USD,active
S0000384,C00384,Enterprise,2024-01-18,,200,USD,active
S0000385,C00385,Standard,2024-12-11,,50,USD,active
S0000386,C00386,Enterprise,2022-09-12,,200,USD,active
S0000387,C00387,Enterprise,2024-06-06,,200,USD,active
S0000388,C00388,Standard,2024-09-01,2025-10-26,50,USD,expired
S0000389,C00389,Standard,2023-12-20,2025-02-12,50,USD,expired
S0000390,C00390,Pro,2021-01-17,2022-07-11,100,USD,expired
S0000391,C00391,Enterprise,2024-09-29,,184,USD,active
S0000392,C00392,Standard,2024-02-10,2024-10-07,50,USD,expired
S0000393,C00393,Enterprise,2022-09-06,,200,USD,active
S0000394,C00394,Pro,2024-09-20,2026-03-14,100,USD,expired
S0000395,C00395,Enterprise,2021-08-01,,200,USD,active
S0000396,C00396,Standard,2021-10-03,,50,USD,active
S0000397,C00397,Standard,2022-06-26,,50,USD,active
S0000398,C00398,Pro,2021-08-25,2023-01-17,100,USD,expired
S0000399,C00399,Enterprise,2021-08-08,2022-03-06,200,USD,expired
S0000400,C00400,Pro,2024-02-08,,100,USD,active
S0000401,C00401,Pro,2021-11-15,2022-06-13,100,USD,expired
S0000402,C00402,Enterprise,2022-07-12,2024-04-02,200,USD,expired
S0000403,C00403,Enterprise,2022-08-01,,200,USD,active
S0000404,C00404,Enterprise,2024-05-23,2026-04-13,200,USD,expired
S0000405,C00405,Standard,2022-03-08,,50,USD,active
S0000406,C00406,Pro,2022-12-04,,100,USD,active
S0000407,C00407,Standard,2022-02-21,,50,USD,active
S0000408,C00408,Pro,2024-11-08,,100,USD,active
S0000409,C00409,Standard,2024-07-22,,50,USD,active
S0000410,C00410,Enterprise,2022-06-25,,200,USD,active
S0000411,C00411,Standard,2023-11-02,,50,USD,active
S0000412,C00412,Standard,2023-09-28,2025-03-21,50,USD,expired
S0000413,C00413,Enterprise,2022-05-30,2023-10-22,200,USD,expired
S0000414,C00414,Pro,2021-04-15,,100,USD,active
S0000415,C00415,Pro,2021-07-09,,100,USD,active
S0000416,C00416,Enterprise,2024-07-23,2025-10-16,200,USD,expired
S0000417,C00417,Standard,2023-05-18,2024-08-10,50,USD,expired
S0000418,C00418,Pro,2022-07-21,,100,USD,active
S0000419,C00419,Pro,2021-04-01,2022-05-26,100,USD,expired
S0000420,C00420,Enterprise,2021-01-08,,200,USD,active
S0000421,C00421,Pro,2022-11-15,,100,USD,active
S0000422,C00422,Standard,2021-09-25,,50,USD,active
S0000423,C00423,Enterprise,2024-07-28,,200,USD,active
S0000424,C00424,Enterprise,2022-06-21,,200,USD,active
S0000425,C00425,Pro,2021-11-27,,100,USD,active
S0000426,C00426,Pro,2023-06-24,,100,USD,active
S0000427,C00427,Enterprise,2024-02-04,2025-12-25,200,USD,expired
S0000428,C00428,Enterprise,2024-12-16,,200,USD,active
S0000429,C00429,Pro,2023-05-26,2024-10-17,100,USD,expired
S0000430,C00430,Enterprise,2024-02-23,,200,USD,active
S0000431,C00431,Standard,2021-01-20,,50,USD,active
S0000432,C00432,Pro,2021-08-18,2023-04-10,100,USD,expired
S0000433,C00433,Enterprise,2021-06-04,,200,USD,active
S0000434,C00434,Pro,2024-11-16,,100,USD,active
S0000435,C00435,Enterprise,2021-11-02,,200,USD,active
S0000436,C00436,Standard,2024-01-23,,50,USD,active
S0000437,C00437,Enterprise,2021-03-15,,200,USD,active
S0000438,C00438,Standard,2023-01-27,,50,USD,active
S0000439,C00439,Enterprise,2024-04-07,2025-09-29,200,USD,expired
S0000440,C00440,Standard,2024-02-06,,50,USD,active
S0000441,C00441,Pro,2021-10-31,2022-11-25,100,USD,expired
S0000442,C00442,Standard,2023-05-31,2024-05-25,50,USD,expired
S0000443,C00443,Enterprise,2021-09-19,2022-06-16,200,USD,expired
S0000444,C00444,Pro,2021-03-27,,100,USD,active
S0000445,C00445,Enterprise,2022-09-24,,200,USD,active
S0000446,C00446,Standard,2023-01-17,,50,USD,active
S0000447,C00447,Enterprise,2021-03-23,,200,USD,active
S0000448,C00448,Standard,2023-01-03,2024-09-24,50,USD,expired
S0000449,C00449,Standard,2022-03-07,,50,USD,active
S0000450,C00450,Enterprise,2024-10-28,,200,USD,active
S0000451,C00451,Standard,2022-05-27,,50,USD,active
S0000452,C00452,Standard,2024-09-27,,50,USD,active
S0000453,C00453,Pro,2021-07-30,2022-02-25,100,USD,expired
