event_id,client_id,event_ts,event_type
E00000577,C00073,2024-06-23,login
E00000578,C00073,2024-05-23,login
E00000579,C00073,2024-08-31,add_user
E00000580,C00074,2024-08-22,login
E00000581,C00074,2024-09-09,cancel_request
E00000582,C00074,2025-01-28,cancel_request
E00000583,C00074,2025-04-24,add_user
E00000584,C00074,2025-01-15,approve_request
E00000585,C00074,2024-09-04,add_user
E00000586,C00075,2025-05-28,cancel_request
E00000587,C00075,2024-05-02,create_invoice
E00000588,C00075,2025-03-06,add_user
E00000589,C00075,2025-03-12,create_invoice
E00000590,C00075,2023-11-10,create_invoice
E00000591,C00076,2023-01-19,cancel_request
E00000592,C00076,2022-11-26,add_user
E00000593,C00076,2025-01-08,create_invoice
E00000594,C00076,2022-02-18,login
E00000595,C00076,2024-01-25,approve_request
E00000596,C00076,2022-12-26,approve_request
E00000597,C00076,2023-08-04,cancel_request
E00000598,C00076,2024-02-06,add_user
E00000599,C00076,2022-07-06,add_user
E00000600,C00076,2023-12-05,approve_request
E00000601,C00077,2024-06-10,approve_request
E00000602,C00077,2023-04-25,approve_request
E00000603,C00077,2024-11-06,add_user
E00000604,C00077,2024-04-21,create_invoice
E00000605,C00077,2025-02-19,login
E00000606,C00078,2023-07-11,approve_request
E00000607,C00078,2023-05-21,create_invoice
E00000608,C00078,2023-02-03,login
E00000609,C00078,2023-07-14,cancel_request
E00000610,C00078,2023-01-23,login
E00000611,C00078,2025-01-04,login
E00000612,C00078,2024-08-27,approve_request
E00000613,C00078,2023-08-30,approve_request
E00000614,C00079,2024-12-01,cancel_request
E00000615,C00079,2024-05-10,cancel_request
E00000616,C00079,2022-07-13,add_user
E00000617,C00079,2025-03-17,add_user
E00000618,C00079,2023-11-26,approve_request
E00000619,C00079,2024-12-23,approve_request
E00000620,C00079,2025-03-03,cancel_request
E00000621,C00079,2024-09-11,add_user
E00000622,C00079,2022-04-08,create_invoice
E00000623,C00080,2024-10-13,approve_request
E00000624,C00080,2024-12-29,add_user
E00000625,C00080,2024-10-18,approve_request
E00000626,C00080,2024-12-29,cancel_request
E00000627,C00080,2025-04-23,cancel_request
E00000628,C00080,2025-04-06,cancel_request
E00000629,C00080,2024-10-14,create_invoice
E00000630,C00080,2025-01-15,create_invoice
E00000631,C00081,2023-02-28,login
E00000632,C00081,2023-09-07,create_invoice
E00000633,C00081,2025-01-24,approve_request
E00000634,C00081,2023-05-02,add_user
E00000635,C00081,2023-10-21,cancel_request
E00000636,C00081,2022-11-25,cancel_request
E00000637,C00082,2024-12-17,approve_request
E00000638,C00082,2025-01-13,cancel_request
E00000639,C00082,2025-04-12,create_invoice
E00000640,C00082,2025-05-24,add_user
E00000641,C00082,2024-12-12,cancel_request
E00000642,C00082,2025-04-07,approve_request
E00000643,C00082,2025-05-15,add_user
E00000644,C00082,2024-12-19,cancel_request
E00000645,C00082,2025-02-08,login
E00000646,C00083,2025-04-28,create_invoice
E00000647,C00083,2025-04-15,add_user
E00000648,C00083,2024-12-03,create_invoice
E00000649,C00083,2024-11-03,login
E00000650,C00083,2024-12-14,login
E00000651,C00083,2025-04-10,create_invoice
E00000652,C00083,2024-11-12,add_user
E00000653,C00083,2025-01-17,login
E00000654,C00083,2025-05-29,login
E00000655,C00084,2024-10-08,approve_request
E00000656,C00084,2025-04-10,login
E00000657,C00084,2024-11-15,add_user
E00000658,C00084,2024-09-21,add_user
E00000659,C00084,2024-10-13,cancel_request
E00000660,C00084,2024-10-17,add_user
E00000661,C00084,2025-05-01,cancel_request
E00000662,C00084,2024-12-10,login
E00000663,C00084,2024-09-21,login
E00000664,C00085,2022-07-16,login
E00000665,C00085,2023-10-16,approve_request
E00000666,C00085,2023-04-17,approve_request
E00000667,C00085,2025-03-16,login
E00000668,C00085,2023-08-28,add_user
E00000669,C00086,2024-11-14,create_invoice
E00000670,C00086,2024-08-01,cancel_request
E00000671,C00086,2025-05-17,create_invoice
E00000672,C00086,2025-03-22,create_invoice
E00000673,C00086,2025-03-07,login
E00000674,C00086,2024-08-10,create_invoice
E00000675,C00086,2024-11-12,login
E00000676,C00086,2024-09-18,approve_request
E00000677,C00086,2024-06-24,add_user
E00000678,C00087,2025-05-23,add_user
